"","< 20","< 30","< 40","< 50","< 60","< 70","< 80","< 90","< 120","> 120"
"Enosledno vozilo","0","0","0","0","0","0","0","0","0","0"
"Osebni avtomobil","141","319","1312","13499","7903","844","39","2","0","0"
"Kombinirano vozilo","18","34","110","336","217","87","2","0","0","0"
"Težje tovorno vozilo","1","9","66","282","147","3","0","0","0","0"
"Tovorno vozilo s prikolico","0","0","2","3","0","0","0","0","0","0"
"Nerazpoznana vozila","0","0","0","0","0","0","0","0","0","0"
