"","< 20","< 30","< 40","< 50","< 60","< 70","< 80","< 90","< 120","> 120"
"Enosledno vozilo","101","455","568","93","12","3","1","0","0","0"
"Osebni avtomobil","929","9011","21947","2219","94","20","6","0","0","0"
"Kombinirano vozilo","124","291","340","25","4","0","0","0","0","0"
"Težje tovorno vozilo","86","263","284","19","0","0","0","0","0","0"
"Tovorno vozilo s prikolico","3","6","0","0","0","0","0","0","0","0"
"Nerazpoznana vozila","1","1","1","0","0","0","0","0","0","0"
