"","< 20","< 30","< 40","< 50","< 60","< 70","< 80","< 90","< 120","> 120"
"Enosledno vozilo","55","63","162","198","48","0","2","4","2","0"
"Osebni avtomobil","502","2160","11982","15699","4308","278","27","3","0","0"
"Kombinirano vozilo","28","272","409","443","85","2","0","0","0","0"
"Težje tovorno vozilo","13","127","117","157","13","1","0","0","0","0"
"Tovorno vozilo s prikolico","0","0","0","2","4","0","0","0","0","0"
"Nerazpoznana vozila","0","0","0","0","0","0","0","0","0","0"
