# ----------------------------------------
# www.visit-trzic.com - GA4
# Države obiskovalcev-UTRIP TRŽIČA
# 20260525-20260724
# ----------------------------------------

Year,Month,Country,Sessions,Engaged sessions,Active users,New users,Engagement rate,Average engagement time per session,Views
2026,05,Norway,1,0,1,1,0,0,1
2026,05,Portugal,1,1,1,1,1,108,6
2026,05,Serbia,1,0,1,1,0,0,1
2026,05,Singapore,1,0,1,1,0,0,1
2026,05,Slovakia,1,1,1,1,1,0,2
2026,06,Albania,1,1,1,1,1,0,2
2026,06,Costa Rica,1,0,1,1,0,0,1
2026,06,India,1,1,1,1,1,0,6
2026,06,Indonesia,1,0,1,0,0,2,1
2026,06,Japan,1,0,1,1,0,0,1
2026,06,Mexico,1,0,1,1,0,0,1
2026,06,New Zealand,1,1,1,1,1,0,2
2026,06,Romania,1,1,1,1,1,41,2
2026,06,Türkiye,1,1,1,0,1,0,1
2026,07,Indonesia,1,1,1,1,1,0,2
2026,07,Portugal,1,1,1,1,1,14,2
2026,07,Romania,1,1,1,1,1,0,4
2026,07,Russia,1,0,1,1,0,0,1

