# ----------------------------------------
# www.visit-trzic.com - GA4
# Najbolj obiskane strani-01_visit_trzic_mesecni_pregled.csv
# 20260525-20260724
# ----------------------------------------

Year,Month,Page title,Page path and screen class,Views,Views per active user,Active users,Event count,Key events,Average engagement time per session
2026,05,Der Strand vom Oberkrain - Gorenjska plaža,/de/aktivitaeten/der-strand-vom-oberkrain-gorenjska-plaza,4,4,1,7,0,0
2026,05,Die Altstadt,/de/sehenswuerdigkeiten/kulturelle-sehenswurdigkeiten/die-altstadt,2,2,1,4,0,0
2026,05,Die Berghütte - Koča na Kriški gori,/de/unterkuenfte/die-berghutte-koca-na-kriski-gori,2,2,1,4,0,0
2026,05,Die Berghütte - Planinski dom Kofce,/de/unterkuenfte/die-berghutte-planinski-dom-kofce,4,2,2,8,0,0
2026,05,Die Berghütte - Planinski dom na Zelenici,/de/unterkuenfte/die-berghutte-planinski-dom-na-zelenici,4,2,2,8,0,0
2026,05,Die Berghütte - Planinski dom pod Storžičem,/de/unterkuenfte/die-berghutte-planinski-dom-pod-storzicem,2,2,1,4,0,0
2026,05,Die Berghütte auf der Alm Koroschitza,/de/kulinarik/die-berghutte-auf-der-alm-koroschitza,2,2,1,5,0,11
2026,05,Die Dovžan-Schlucht,/en/attractions/natural-attractions/the-dovzan-gorge,0,0,1,1,0,93
2026,05,Die Hütte am alten Loibl,/de/kulinarik/die-hutte-am-alten-loibl,27,1.9285714285714286,14,58,0,24.5
2026,05,Die Schlucht Dovžanova soteska,/de/sehenswuerdigkeiten/naturliche-sehenswurdigkeiten/die-schlucht-dovzanova-soteska,33,2.357142857142857,14,69,0,56.05263157894737
2026,05,Die Sennerei - Planšarija Dolga njiva,/de/kulinarik/die-sennerei-plansarija-dolga-njiva,2,2,1,4,0,0
2026,05,Die Sennerei - Planšarija Tegošče,/de/unterkuenfte/die-sennerei-plansarija-tegosce,1,1,1,1,0,0
2026,05,Die Spuren der Industrie in Tržič,/de/wege/stadtbesichtigungen/die-spuren-der-industrie-in-trzic,10,2,5,23,0,49.833333333333336
2026,05,Die Stadt an einem Tag,/de/wege/stadtbesichtigungen/die-stadt-an-einem-tag,1,1,1,1,0,0
2026,05,Diverse Tržič experiences,/en/activities,3,1,3,5,0,7.666666666666667
2026,05,Dobrodošli u Tržič,/sl,0,0,1,2,0,58
2026,05,Dobrodošli v Tržiču,/sl,255,1.875,136,588,0,6.285714285714286
2026,05,Dobrča,/it/sentieri/sentieri-alpini/dobrca,3,1.5,2,4,0,0
2026,05,Dobrča,/sl/poti/pejmo-v-planine/dobrca,6,2,3,11,0,6.333333333333333
