# ----------------------------------------
# www.visit-trzic.com - GA4
# Vstopne strani-01_visit_trzic_mesecni_pregled.csv
# 20260525-20260724
# ----------------------------------------

Year,Month,Landing page,Sessions,Engaged sessions,Active users,New users,Engagement rate,Key events,Average engagement time per session
2026,06,/sl/poti/kolesarske-poti/k35-prelaz-ljubelj,36,23,34,31,0.6388888888888888,0,22.02777777777778
2026,06,/de/kulinarik/die-hutte-am-alten-loibl,35,32,33,32,0.9142857142857143,0,23.514285714285716
2026,06,/en/attractions/cultural-attractions/ljubelj-loibl-pass,35,23,29,29,0.6571428571428571,0,12.4
2026,06,/sl/kulinarika/picerija-pod-gradom,34,20,32,24,0.5882352941176471,0,16
2026,07,/de/sehenswuerdigkeiten/kulturelle-sehenswurdigkeiten/der-loiblpass,34,32,33,33,0.9411764705882353,0,16.705882352941178
2026,06,/sl/kulinarika/zavetisce-v-gozdu,33,24,29,22,0.7272727272727273,0,43.54545454545455
2026,06,/sl/poti/pejmo-v-planine/planine-pod-kosuto,33,26,30,25,0.7878787878787878,0,62.36363636363637
2026,06,/sl/znamenitosti/kulturne-znamenitosti/zmaj-iz-petelinjega-jajca,33,16,24,22,0.48484848484848486,0,8.333333333333334
2026,07,/sl/znamenitosti/naravne-znamenitosti/sentanski-rudnik,33,23,29,25,0.696969696969697,0,62.84848484848485
2026,06,/sl/poti/kolesarske-poti/k43-dobrca,30,24,25,16,0.8,0,60
2026,05,(not set),29,0,19,0,0,0,5.0344827586206895
2026,05,/sl/poti/kolesarske-poti,29,17,22,13,0.5862068965517241,0,71.51724137931035
2026,06,/sl/poti/kolesarske-poti/k12-planina-dolga-njiva,29,21,24,19,0.7241379310344828,0,39.13793103448276
2026,06,/sl/poti/pejmo-v-planine/korosica,29,16,20,17,0.5517241379310345,0,13.137931034482758
2026,06,/sl/aktivnosti/krucefix-destilarna,28,20,24,24,0.7142857142857143,0,36.535714285714285
2026,06,/sl/poti/kolesarske-poti/k11-planine-pod-kosuto,28,10,13,8,0.35714285714285715,0,36.714285714285715
2026,06,/sl/poti/pejmo-v-planine/trziska-planinska-pot,28,23,27,27,0.8214285714285714,0,43.964285714285715
2026,06,/sl/prenocisca/taborniski-dom-sija,28,19,26,22,0.6785714285714286,0,28.035714285714285
2026,06,/sl/prenocisca/seznam-prenocisc,27,24,26,24,0.8888888888888888,0,71.92592592592592
2026,07,/sl/kulinarika/izletniska-kmetija-pr-hariz,27,20,21,20,0.7407407407407407,0,6.37037037037037
2026,07,/sl/kulinarika/koca-na-ljubelju,27,22,25,24,0.8148148148148148,0,20
2026,06,/en/attractions/cultural-attractions/ljubelj-labour-camp,25,17,20,20,0.68,0,6.72
2026,06,/sl/kulinarika/izletniska-kmetija-pr-hariz,25,19,25,24,0.76,0,13.84
2026,06,/sl/znamenitosti/naravne-znamenitosti/stegovniski-slap,25,17,23,23,0.68,0,11.76
2026,07,/sl/kulinarika/zavetisce-v-gozdu,25,13,16,15,0.52,0,6.04
2026,06,/sl/poti/pejmo-v-planine/kofce,24,19,24,22,0.7916666666666666,0,21.791666666666668
2026,07,/sl/poti/pejmo-v-planine/planine-pod-kosuto,24,15,20,16,0.625,0,26.916666666666668
2026,06,/sl/kulinarika/koca-na-ljubelju,23,14,20,18,0.6086956521739131,0,7.304347826086956
2026,06,/sl/prenocisca/plansarija-tegosce,23,19,17,16,0.8260869565217391,0,19.47826086956522
2026,06,/sl/znamenitosti/kulturne-znamenitosti/prelaz-ljubelj,23,17,22,22,0.7391304347826086,0,27.91304347826087
2026,05,/de/sehenswuerdigkeiten/kulturelle-sehenswurdigkeiten/der-loiblpass,22,21,22,22,0.9545454545454546,0,39.54545454545455
2026,06,/it/attrazioni/attrazioni-naturali/la-gola-di-dovzan,22,15,16,14,0.6818181818181818,0,21.5
2026,06,/sl/aktivnosti/balkan-campers-najem-zabavnih-vw-kamperjev,22,15,20,19,0.6818181818181818,0,8.090909090909092
2026,07,/sl/poti/kolesarske-poti/k16-trzic-jezersko,22,13,16,9,0.5909090909090909,0,36.13636363636363
2026,07,/sl/poti/poti-po-naravi/pot-treh-zvonov,22,17,20,17,0.7727272727272727,0,35.95454545454545
2026,07,/sl/prenocisca/taborniski-dom-sija,22,17,18,16,0.7727272727272727,0,18.318181818181817
