"Tank št.","Čas per hour","Povprečna vrednost (kPa)"
"Trzic-Tank1","2026-05-27 16:00","-0.1"
"Trzic-Tank1","2026-05-27 17:00","-0.1"
"Trzic-Tank1","2026-05-27 18:00","-0.1"
"Trzic-Tank1","2026-05-27 19:00","-0.1"
"Trzic-Tank1","2026-05-27 20:00","-0.1"
"Trzic-Tank1","2026-05-27 21:00","-0.1"
"Trzic-Tank1","2026-05-27 22:00","-0.1"
"Trzic-Tank1","2026-05-27 23:00","-0.1"
"Trzic-Tank1","2026-05-28 00:00","-0.1"
"Trzic-Tank1","2026-05-28 01:00","-0.1"
"Trzic-Tank1","2026-05-28 02:00","-0.1"
"Trzic-Tank1","2026-05-28 03:00","-0.1"
"Trzic-Tank1","2026-05-28 04:00","-0.1"
"Trzic-Tank1","2026-05-28 05:00","-0.1"
"Trzic-Tank1","2026-05-28 06:00","-0.1"
"Trzic-Tank1","2026-05-28 07:00","-0.1"
"Trzic-Tank1","2026-05-28 08:00","-0.1"
"Trzic-Tank1","2026-05-28 09:00","-0.1"
"Trzic-Tank1","2026-05-28 10:00","-0.1"
"Trzic-Tank1","2026-05-28 11:00","-0.1"
"Trzic-Tank1","2026-05-28 12:00","-0.1"
"Trzic-Tank1","2026-05-28 13:00","-0.1"
"Trzic-Tank1","2026-05-28 14:00","-0.1"
"Trzic-Tank1","2026-05-28 15:00","-0.1"
"Trzic-Tank1","2026-05-28 16:00","-0.1"
"Trzic-Tank1","2026-05-28 17:00","-0.1"
"Trzic-Tank1","2026-05-28 18:00","-0.1"
"Trzic-Tank1","2026-05-28 19:00","-0.1"
"Trzic-Tank1","2026-05-28 20:00","-0.1"
"Trzic-Tank1","2026-05-28 21:00","-0.1"
"Trzic-Tank1","2026-05-28 22:00","-0.1"
"Trzic-Tank1","2026-05-28 23:00","-0.1"
"Trzic-Tank1","2026-05-29 00:00","-0.1"
"Trzic-Tank1","2026-05-29 01:00","-0.1"
"Trzic-Tank1","2026-05-29 02:00","-0.1"
"Trzic-Tank1","2026-05-29 03:00","-0.1"
"Trzic-Tank1","2026-05-29 04:00","-0.1"
"Trzic-Tank1","2026-05-29 05:00","-0.1"
"Trzic-Tank1","2026-05-29 06:00","-0.1"
"Trzic-Tank1","2026-05-29 07:00","-0.1"
"Trzic-Tank1","2026-05-29 08:00","-0.1"
"Trzic-Tank1","2026-05-29 09:00","-0.1"
"Trzic-Tank1","2026-05-29 10:00","-0.1"
"Trzic-Tank1","2026-05-29 11:00","-0.1"
"Trzic-Tank1","2026-05-29 12:00","-0.1"
"Trzic-Tank1","2026-05-29 13:00","-0.1"
"Trzic-Tank1","2026-05-29 14:00","-0.1"
"Trzic-Tank1","2026-05-29 15:00","-0.1"
"Trzic-Tank1","2026-05-29 16:00","-0.1"
"Trzic-Tank1","2026-05-29 17:00","-0.1"
"Trzic-Tank1","2026-05-29 18:00","-0.1"
"Trzic-Tank1","2026-05-29 19:00","-0.1"
